Year,County,Female_25,Male_25,Population_number
2011,Total,33835,31407,4588252
2011,Cork,3651,3256,519032
2011,Clare,649,629,117196
2011,Cavan,458,435,73183
2011,Carlow,376,347,54612
2011,Dublin City,5869,5610,527612
2011,Donegal,963,914,161137
2011,Dún Laoghaire-Rathdown,1512,1409,206261
2011,Fingal,2253,1968,273991
2011,Galway City,867,824,75529
2011,Galway County,892,928,175124
2011,Kildare,1507,1289,210312
2011,Kilkenny,574,539,95419
2011,Kerry,841,904,145502
2011,Longford,260,221,39000
2011,Louth,896,861,122897
2011,Limerick,1453,1314,191809
2011,Leitrim,182,184,31798
2011,Laois,560,556,80559
2011,Meath,1198,1061,184135
2011,Monaghan,425,434,60483
2011,Mayo,759,768,130638
2011,Offaly,492,421,76687
2011,Roscommon,385,374,64065
2011,South Dublin,2232,1992,265205
2011,Sligo,408,404,65393
2011,Tipperary,982,893,158754
2011,Waterford ,744,748,113795
2011,Westmeath,687,590,86164
2011,Wicklow,838,742,136640
2011,Wexford,922,792,145320

2016,Total,28484,28794,4761865
2016,Cork,3245,3180,542868
2016,Clare,568,576,118817
2016,Cavan,353,375,76176
2016,Carlow,333,333,56932
2016,Dublin City,5783,5833,554554
2016,Donegal,689,757,159192
2016,Dún Laoghaire-Rathdown,1456,1390,218018
2016,Fingal,1760,1697,296020
2016,Galway City,720,792,78668
2016,Galway County,742,852,179390
2016,Kildare,1180,1152,222504
2016,Kilkenny,528,523,99232
2016,Kerry,656,684,147707
2016,Longford,206,196,40873
2016,Louth,733,754,128884
2016,Limerick ,1110,1217,194899
2016,Leitrim,136,152,32044
2016,Laois,428,440,84697
2016,Meath,912,914,195044
2016,Monaghan,333,316,61386
2016,Mayo,554,583,130507
2016,Offaly,402,371,77961
2016,Roscommon,296,320,64544
2016,South Dublin,1724,1691,278767
2016,Sligo,321,298,65535
2016,Tipperary,761,806,159553
2016,Waterford,579,652,116176
2016,Westmeath,479,479,88770
2016,Wicklow,741,707,142425
2016,Wexford,756,754,149722
