Year,County,Female_25,Male_25,Population_number

2011,Cork,3651,3256,519032
2011,Clare,649,629,117196
2011,Cavan,458,435,73183
2011,Carlow,376,347,54612
2011,Dublin City,5869,5610,527612
2011,Donegal,963,914,161137
2011,Dún Laoghaire-Rathdown,1512,1409,206261
2011,Fingal,2253,1968,273991
2011,Galway City,867,824,75529
2011,Galway County,892,928,175124
2011,Kildare,1507,1289,210312
2011,Kilkenny,574,539,95419
2011,Kerry,841,904,145502
2011,Longford,260,221,39000
2011,Louth,896,861,122897
2011,Limerick,1453,1314,191809
2011,Leitrim,182,184,31798
2011,Laois,560,556,80559
2011,Meath,1198,1061,184135
2011,Monaghan,425,434,60483
2011,Mayo,759,768,130638
2011,Offaly,492,421,76687
2011,Roscommon,385,374,64065
2011,South Dublin,2232,1992,265205
2011,Sligo,408,404,65393
2011,Tipperary,982,893,158754
2011,Waterford ,744,748,113795
2011,Westmeath,687,590,86164
2011,Wicklow,838,742,136640
2011,Wexford,922,792,145320
