Year,County,Population_number



2016,Cork,542868
2016,Clare,118817
2016,Cavan,76176
2016,Carlow,56932
2016,Dublin City,554554
2016,Donegal,159192
2016,Dun Laoghaire-Rathdown,218018
2016,Fingal,296020
2016,Galway City,78668
2016,Galway County,179390
2016,Kildare,222504
2016,Kilkenny,99232
2016,Kerry,147707
2016,Longford,40873
2016,Louth,128884
2016,Limerick,194899
2016,Leitrim,32044
2016,Laois,84697
2016,Meath,195044
2016,Monaghan,61386
2016,Mayo,130507
2016,Offaly,77961
2016,Roscommon,64544
2016,South Dublin,278767
2016,Sligo,65535
2016,Tipperary,159553
2016,Waterford,116176
2016,Westmeath,88770
2016,Wicklow,142425
2016,Wexford,149722


